sg,sgNumber,cleaned_formula
P b a m,55.0,Nd2Cu2O5
C m c a,64.0,NbCoTe2
P m n a,53.0,NbFeTe2
P m -3 m,221.0,Ba6Co25S27
P 42/m b c,135.0,Sr2GeN2
C m c m,63.0,Ca3CrN3
P b a m,55.0,Ta4SiTe4
C m c m,63.0,MnTl2H4OF5
C m c m,63.0,MnTl2H4OF5
P m c 21,26.0,Ba6Mn4Si12Cl3O34
P m c 21,26.0,Ba6Fe5Si11Cl3O34
I 41/a :2,88.0,Cu5H10C10S2N2Cl5
P 21 21 2,18.0,H11Au(C9N)2
P 21 21 21,19.0,ZnBH25C20(SN3)2
P b c a,61.0,NiPH8C6NO5
I -4 2 d,122.0,ZnH10(CN)12
P m n 21,31.0,KPH31C16NO6
P 21 21 21,19.0,CeCuH22C20N5O13
P 21 21 21,19.0,PrCuH22C20N5O13
P 21 21 21,19.0,EuCuH22C20N5O13
P 21 21 21,19.0,TbCuH22C20N5O13
P 21 21 21,19.0,DyCuH22C20N5O13
P 21 21 21,19.0,HoCuH22C20N5O13
P 21 21 21,19.0,TmCuH22C20N5O13
P 21 21 21,19.0,YbCuH22C20N5O13
P 21 21 21,19.0,CeNiH22C20N5O13
P 21 21 21,19.0,NdNiH22C20N5O13
P 21 21 21,19.0,EuNiH22C20N5O13
P 21 21 21,19.0,TbNiH22C20N5O13
P 21 21 21,19.0,ErNiH22C20N5O13
C m c m,63.0,MnVCuO4
P b c n,60.0,ZnH10C8(N2Cl)2
F d d 2,43.0,CdH10C8(BrN2)2
A m a 2,40.0,NaCa4(BO3)3
A m a 2,40.0,KCa4(BO3)3
A m a 2,40.0,KSr4(BO3)3
P 4/n m m :2,129.0,SrSbSe2F
C m c m,63.0,VPH4CO5
I m m m,71.0,V2P2H6C3O11
C m c m,63.0,VPH5(CO3)2
I m m m,71.0,V2P2H12C5O12
P 1 21/c 1,14.0,V3P4H24C9N2O15
P 4/n m m :2,129.0,Ce(AlPd)2
I -4 2 m,121.0,In5AgTe8
P n m a,62.0,Dy2H20C24N2O17
P 21 21 21,19.0,MnH25C18N5(ClO2)2
I -4 2 m,121.0,Co4Ag5P5C64S24N28OF60
I 4/m m m,139.0,Cs2PdI6
F m -3 m,225.0,Cs2PdI6
P 21 21 21,19.0,P3RuC18S5O9
P n n 2,34.0,Cr3H31C41(N3Cl)4
I m -3 m,229.0,Zr6Be(Cl3O4)6
I m -3 m,229.0,Zr6Mn(Cl3O4)6
P n m a,62.0,V3Fe2(CoO3)4
P n m a,62.0,PNF2
F m -3 m,225.0,NaCl
P b n m,62.0,NaC2N3
P n a 21,33.0,FeH25C19SN3O2
P b c n,60.0,Co3H20C24(NO3)4
P b c n,60.0,Cu3H20C24(NO3)4
P 21 21 21,19.0,AsXeO2F7
P 21 21 21,19.0,TlH9PtC8(SN3)2
C m c 21,36.0,CoH16C7NO11
P b c a,61.0,MnH6C8(N5Cl)2
P b c a,61.0,MnH6C8(IN5)2
P 21 21 21,19.0,AgH16C13SN4(OF)3
P b c a,61.0,H12AuC2N2Cl3O2
P 21 21 21,19.0,CSeN
P n m a,62.0,C2Se3N2
P 21 21 21,19.0,Cd2H3C9O7
P n m a,62.0,Ba2SnS3F2
P n m a,62.0,Ba2SnSe3F2
P n m a,62.0,Sr2SnSe3F2
P n a 21,33.0,CuH10C3(NCl)2
P c a 21,29.0,Cd7Te7Cl8O17
I 21 3,199.0,Li4BH10N3
I 21 3,199.0,Li4BH10N3
P m n 21,31.0,HgH13C9SI2N
P b c a,61.0,Fe2B8H12C8O7
P 21 21 21,19.0,ZnPH7C4N2O3
P 4/n :2,85.0,AgH32C36(NO)4
I 4/m,87.0,H28RuC45(N2O)2
I -4 m 2,119.0,Nb14Ne16SiO42
I -4 m 2,119.0,Nb12Ne16Ti2SiO42
P c m n,62.0,MnCrH6C8(N4O)2
P c m n,62.0,MnCrH6C8(N4O)2
P 21 21 21,19.0,MnCrH12C9(N4O)2
P 4/m m m,123.0,Co2H32PdC58(N3O4)2
P 21 21 21,19.0,SmBH18C17N6
P 41,76.0,H10AuC6Cl
P 21 21 21,19.0,V4P4H8C12O23
P c a 21,29.0,VPH6(CO2)3
C m c 21,36.0,NpH8C8N4O5
P 21 c n,33.0,BiH13C4SI5N
P 21 21 21,19.0,BiH13C4SI5N
P 21 21 21,19.0,SbH13C4SI5N
P m c 21,26.0,NaFeH14C15(N3O)3
P n n m,58.0,Er3CrS6
P 21 c a,29.0,Er2CrS4
P 42/n :2,86.0,CuH8C8BrN3
P n m a,62.0,CuH6(C2N)4
P n m a,62.0,H2C2N3
P b c a,61.0,GdH6C2NO7
I -4,82.0,MnSn4H24C8(Se5N)2
I -4,82.0,FeSn4H24C8(Se5N)2
P b c a,61.0,Ba(GaO3)2
I a -3 d,230.0,Sr3(GaO6)2
P b c a,61.0,Rb3P3H5N
P n m a,62.0,ZnH16C12N12(ClO4)2
P n m a,62.0,CdH16C12N12(ClO4)2
P 21 21 21,19.0,NiH18C8(SN3)2
P a -3,205.0,K2Re3H3C3(S2O3)2
P n m a,62.0,CeAsSe
P b c a,61.0,AgC3N3O
P 4/m b m,127.0,Eu3In15Co2
P 21 21 21,19.0,H9C6NO
P n m a,62.0,CuH5C7N3O2
P 21 21 21,19.0,CuH7C8N3O2
I -4,82.0,CuH4C7S2N
P n m a,62.0,K2Gd2As2Se9
P n m a,62.0,K2Sm2As2Se9
I 41/a m d :2,141.0,CoH10W3C10Cl9
C 2 2 21,20.0,K2AlB5O14
C 2 2 21,20.0,AlB5H16(NO7)2
I -4 2 d,122.0,ZnH6C4N3F
P b c n,60.0,SmH12C12N2ClO8
P b c n,60.0,EuH12C12N2ClO8
P b c n,60.0,TbH12C12N2ClO8
P b c n,60.0,DyH12C12N2ClO8
C m c m,63.0,InH7C4O5
P 21 21 21,19.0,ZnH20C14(IN)2
P n m a,62.0,Pr2H17C24N5O18
P n m a,62.0,Lu5Sb3
P n m a,62.0,Tm5Sb3
P n a 21,33.0,ThP2H2CO8
P 21 3,198.0,NaMnH3(CO2)3
P b c a,61.0,MnH7C7N5O2
P c a 21,29.0,CuH4C2(N2O)2
P b a m,55.0,Yb5(AlSb3)2
P n n m,58.0,Cu3H16C24(N10Cl)2
P b c a,61.0,TiH8C8(NCl)2
P 42,77.0,Cu4H38WC36S4I2N6O
P 21 21 21,19.0,Zn9(InSb3)2
P 4/n m m :2,129.0,EuMoC8N8O5
P 4/n m m :2,129.0,GdMoC8N8O5
P 4/n m m :2,129.0,TbMoC8N8O5
P 4/n m m :2,129.0,SmWC8N8O5
P 4/n m m :2,129.0,EuWC8N8O5
P 4/n m m :2,129.0,GdWC8N8O5
P 4/n m m :2,129.0,TbWC8N8O5
P 1,1.0,V2HO4
I m -3 m,229.0,V
P b a m,55.0,In2Sb4Pb4Se13
I m m m,71.0,Sc3RuC4
I m m m,71.0,Sc3OsC4
P b c a,61.0,Ag4H3C12N2(OF)9
P n m a,62.0,NaH5PbC9O7
P b c a,61.0,H4Pb(C2O)4
P b c a,61.0,TcF4
P b c a,61.0,TcCl4
P b c a,61.0,TcBr4
P 1 21/c 1,14.0,TcI4
I m m a,74.0,K3InAu5
I m m a,74.0,K3TlAu5
P m m a,51.0,Rb2TlAu3
P n m a,62.0,Ho5Ge4
I -4 2 d,122.0,KSrB(PO4)2
I -4 2 d,122.0,KBaB(PO4)2
P m n a,53.0,Ga2CuSe3O10
P 21 3,198.0,K2Cd2(SO4)3
P 21 21 2,18.0,NiBH17C8S(NF2)2
I 41/a m d :2,141.0,Cs2PbN2(ClO3)2
I 4/m c m,140.0,CsPb2Cl5
P n a 21,33.0,Na2B5H5O11
P 41,76.0,Na2CoH16(C9O5)2
P 41,76.0,Na2CoH20(C2O)10
C 2 2 21,20.0,Li2CoH12(C8O5)2
P m n 21,31.0,Li2CdGeS4
P m n 21,31.0,Li2CdSnS4
I 4/m m m,139.0,Y2US3O2
I 4/m m m,139.0,Yb2US3O2
P 21 21 21,19.0,KH16(C3N)4
P c a 21,29.0,AgBH12C13(NF)4
C m c 21,36.0,Cs4K3U3Si4O20F
P n n m,58.0,Rb6NaU3Si4O20F
I 2 2 2,23.0,VH22C8NO11
P m c 21,26.0,ZnH13C4NCl3
I m m a,74.0,Na5HoH4C12O25
P b c a,61.0,CuReH8C10(NO2)2
P b c a,61.0,H6C5N3
P 21 21 2,18.0,Mn2Ge5Te10(CN)12
P 42/m m c,131.0,CuH2C4(SN)2
P c a 21,29.0,MnH21C20N6Cl2O9
P n a 21,33.0,PH22RuC16N2ClF6
P n m a,62.0,NaH20C10S3N3O5
P 4/n :2,85.0,Sr4H16C8N16O19
P -4 3 m,215.0,Fe4As3(O4F)4
P 21 21 21,19.0,NiH18C11SN4O3
P 21 21 21,19.0,ZnH21C15(NO2)3
P a -3,205.0,AsH6C4I(NF3)2
P b c a,61.0,HPbC2SN3
P 21 21 21,19.0,ReH12C14SN2O7F3
P m n b,62.0,MnCrC9N8
P m n b,62.0,MnCrC9N8
P b c n,60.0,CaH24C16(ClO4)2
I b a m,72.0,CdH4C4N8O
P b c a,61.0,CsUPO6
P n n a,52.0,GdAg3H6C14N2O11
P n n a,52.0,TbAg3H6C14N2O11
P n n a,52.0,DyAg3H6C14N2O11
P n n a,52.0,TmAg3H6C14N2O11
P n n a,52.0,YbAg3H6C14N2O11
P 4 n c,104.0,UH12C10N5(ClO4)4
P n m a,62.0,ReH14C18N3OF10
P m m n :2,59.0,K12Sn4Au21
P c a 21,29.0,ReAg2H8C10N4O9
P b c a,61.0,ReAgH8C10(NO2)2
P n n n :2,48.0,ReAgH24C24(NO)4
P c a 21,29.0,WSF4
P n m a,62.0,H3WC2SNF4
P n m a,62.0,FeH24C24I2N2O3
P 21 21 21,19.0,FePH19C25SINO2
P 21 3,198.0,Ga4SbS9N3O2
P 21 3,198.0,Ga4Sb(S2N)5
P 21 3,198.0,Ga4Sb(S2N)5
P 21 3,198.0,Ga4SbS9N3O2
P b c m,57.0,La4Fe(SbS5)2
P b c m,57.0,La4Fe(SbSe5)2
C m c m,63.0,CsNpAgS3
C m c m,63.0,KNpCuS3
C m c m,63.0,RbNpCuS3
C m c m,63.0,CsNpCuS3
C m c m,63.0,KNpAgS3
P n a 21,33.0,UH21C21SN5O9
P m c 21,26.0,MnMoH2SeO7
P 21 21 21,19.0,Ni3Te2MoO10
P 21 21 21,19.0,H10PdC9NClO2
F d -3 m :2,227.0,Pr2Zr2O7
F m -3 m,225.0,ZrN
F d -3 m :2,227.0,Nd2Zr2O7
F m -3 m,225.0,ZrN
F d -3 m :2,227.0,Sm2Zr2O7
F m -3 m,225.0,ZrN
P 21 21 21,19.0,CoH19(C8S)2
I 4/m,87.0,Ba4Fe2S4I5
P 41,76.0,La6FeBr10
P b c n,60.0,Cu3H12(C11N4)2
P c a 21,29.0,H12C7N6O
P 21 21 21,19.0,H17C7N6O5
P 42,77.0,FeBH25(C10O)2
P 21 21 21,19.0,FeB2H25C20(OF2)2
P c a 21,29.0,NiH18C18S2(NO2)2
P b a m,55.0,LiPH12C8(SeN)4
P n m a,62.0,UH6C14(NO3)2
P n m a,62.0,TaH22C17
C m c m,63.0,CsDyCdTe3
C m c m,63.0,CsErCdTe3
C m c m,63.0,CsGdCdTe3
C m c m,63.0,CsHoCdTe3
C m c m,63.0,CsLaCdTe3
C m c m,63.0,CsLuCdTe3
C m c m,63.0,CsNdCdTe3
C m c m,63.0,CsPrCdTe3
C m c m,63.0,CsSmCdTe3
C m c m,63.0,CsTbCdTe3
C m c m,63.0,CsTmCdTe3
P 4/m m m,123.0,VH14C2N2O5
I m m m,71.0,V4C3(NO2)5
C m c m,63.0,Gd3RuO7
P 21 n b,33.0,Gd3RuO7
C m c m,63.0,Gd3RuO7
C m c m,63.0,Gd3RuO7
P 21 21 21,19.0,ZnH8C7NClO
P c a 21,29.0,FePH22C17N3O
P 21 21 21,19.0,MnPH22C9N3(O2F3)2
P n m a,62.0,Cu3H12C24S12(N3Cl2)2
F d d d :2,70.0,K(Sn3Au2)2
P m m n :2,59.0,K(SnAu)3
P 21 21 21,19.0,H18C14N2O3
P n m a,62.0,Ba4Fe3(S3F2)2
C m c m,63.0,H6PtN3Cl3O2
P 4/m b m,127.0,Ti9Fe2(B4Ru9)2
P n m a,62.0,H14IrC14NO3
I -4,82.0,CuSb2(XeF5)4
P c a 21,29.0,BH3C12XeNF17
P b c a,61.0,BC10XeN4F5
I -4,82.0,MoPH20C24S3Cl
F d d 2,43.0,Na2Fe2C4Cl2O9
P 21 21 21,19.0,H18C19N2O
P 42/m n m,136.0,AsH19AuC9(N2F3)2
P 42/m n m,136.0,As2H38Au2C15N8OF12
P 42/m m c,131.0,As2H37Au2C18N8ClF12
P n m a,62.0,PH16AuC6(N2F3)2
P n m a,62.0,AsH16AuC6(N2F3)2
P b c a,61.0,ThP2O9
P b c a,61.0,KH12IrC8(NCl)4
P m m n :2,59.0,CuPH22C14SN4(OF3)2
I 1,1.0,K5MoC7N8
P a -3,205.0,CaGaAu3
P c c n,56.0,CdH4C5N5O2
C 2 2 2,21.0,NiH13C23(NO2)2
A m m 2,38.0,La4Se3O4
A m m 2,38.0,Ce4Se3O4
A m m 2,38.0,Pr4Se3O4
A m m 2,38.0,Nd4Se3O4
A m m 2,38.0,Sm4Se3O4
P n a 21,33.0,NpP2H2CO8
P b c a,61.0,UP2H2CO7
P n a 21,33.0,UP2H2CO9
P b c a,61.0,MnH6C6(NO3)2
P 21 21 21,19.0,AlB5H14C4(NO5)2
P 21 21 21,19.0,H17C14N3O
I m m a,74.0,GaH4C13NO5
C 2 2 21,20.0,AgH24C18N4ClO4
I 4/m,87.0,AgSbH24C18(N2F3)2
I -4 m 2,119.0,Cu2Sn2H15C4(S2N)3
P 21 21 21,19.0,Cu4H16C5N9O2
P b c n,60.0,Cu2H4C4N3O
P n m a,62.0,Sm2Ti11Sb14
P 21 3,198.0,TcBi3O8
P 21 21 21,19.0,BH24PdC20N3F4
P m n 21,31.0,B10H13C3I
P 21 21 21,19.0,B5H5CI
P 41 3 2,213.0,Mg3Ru2
P 21 21 2,18.0,Ge3H14C6(NO3)2
C m c m,63.0,RbUCuS3
C m c m,63.0,CsUAgS3
C m c m,63.0,CsUAgSe3
C m c m,63.0,CsUCuS3
C m c m,63.0,KUCuS3
C m c m,63.0,RbUAgS3
C m c m,63.0,RbUAgSe3
P n m a,62.0,H6C3N4O3
P 21 21 21,19.0,ZnH25RuC8N9Cl5O2
P b c n,60.0,HgH8C7S
P b c m,57.0,NaBH22C12S6(N2O)3
P b c a,61.0,KBH8C7S6N6O
P 21 21 2,18.0,GdCu2H32C30N6Cl3O8
P m m a,51.0,BaIn4Ir
C m c 21,36.0,Ba2In13Ir4
P m c 21,26.0,CuH3C5Br(NO)2
P b c m,57.0,CuH3C5N2ClO2
P 21 21 21,19.0,Zn2P2H25C18N2ClO6
P 21 21 21,19.0,Zn2P2H25C18N2ClO6
P 21 21 21,19.0,Fe2H17C25S2NO8
P b c a,61.0,UPH8C2NO8
I -4 2 m,121.0,Cu3H8C11S2N3
P n m a,62.0,NaH12C7N3
C m c e,64.0,NaH12C7N3
P n m a,62.0,PH24RuC18S3N4Cl(OF3)2
P n a 21,33.0,NiH6C16S2N3(OF3)4
P n a 21,33.0,FeH6C16S2N3(OF3)4
P 21 21 21,19.0,ReH21C19N3ClO6
P c a 21,29.0,H13C10NO2
P 43 21 2,96.0,K10Mn4Sn4Te4CSe13O16
P n m a,62.0,Pr3RuCl3
I 21 21 21,24.0,AgBH9C9N5F4
I 21 21 21,24.0,AgBH11C10N5F4
P c a 21,29.0,B5H8C5
P b c a,61.0,C2SeN2
I 4 c m,108.0,Ga3Pb5F19
I 4 c m,108.0,Ga3Pb5F19
P 21 21 21,19.0,CoH16C5O9
P 4/n m m :2,129.0,Ce2Ga9CoGe2
P 4/n m m :2,129.0,Sm2Ga9NiGe2
P n m a,62.0,InAsH8C5I3
P n m a,62.0,InPH8C5I3
P 1 21/n 1,14.0,MnH19C20N9Cl4
P 1 21/n 1,14.0,FeH19C20N9Cl4
P 21 21 21,19.0,ZnH5C3SNO2
P 21 21 21,19.0,CdH5C3SNO2
P m m a,51.0,Sr3Li6Ta2O11
P m m a,51.0,Sr3Li6Nb2O11
P 21 21 21,19.0,V2CuH16C12(N2O3)2
P m n 21,31.0,NiPH4(C3O2)2
P n m a,62.0,K3H20C22Br3O5
P 4/n c c :2,130.0,H6Pt(CS)4
I 4,79.0,H22Pt(C7S2)2
C 1 c 1,9.0,TiH18C14N2(ClO)2
P b c a,61.0,AsH5C7S3(N2F3)2
P n a 21,33.0,CsGeB3O7
I 41/a :2,88.0,Na3BP4PbO16
P a -3,205.0,Li(BH)6
P 21 21 21,19.0,GaH4C6S2NCl4
P 21 21 2,18.0,MnH12C14N2O9
P b c a,61.0,KHSO4
B b c m,64.0,KHSO4
P n m a,62.0,H16C13N2O3
P 21 21 21,19.0,CoCuH22C7SN5Cl3O2
P 21 21 21,19.0,CoCuH22C7SN5Cl3O2
P n m a,62.0,TaH25C18
P n a 21,33.0,TcH5C9NO4
P 43 2 2,95.0,Rb2Nb2Si2O11
I m m m,71.0,U3O11
P b c n,60.0,Sr7GeN6
P b c n,60.0,Ca7GeN6
C m c m,63.0,GaH4C8O5
P 21 21 21,19.0,CdPH11C7(NO2)2
I -4,82.0,MnSn4H24C8(Se5N)2
P 21 3,198.0,CuH21C10N3ClO5
P b a n :2,50.0,Tl2TeO3
P b a n :2,50.0,Tl2TeO3
P b a n :2,50.0,Tl2TeO3
P 41 21 2,92.0,CuH8C12N5
P 21 21 21,19.0,NbSi2H23C14F
P b n m,62.0,NbSi2H23C14IBr
P c a 21,29.0,H8PtC12(NCl)2
I 41/a :2,88.0,Gd3H20C24(NO3)8
I 41/a :2,88.0,Dy3H20C24(NO3)8
I 41/a :2,88.0,Er3H20C24(NO3)8
I 41/a :2,88.0,Sm3H20C24(NO3)8
I 41/a :2,88.0,Y3H20C24(NO3)8
P b c m,57.0,CeNiSb3
P b c m,57.0,LaNiSb3
P n m a,62.0,CuH5C5N3O5
I -4 3 m,217.0,Zn8Cu5
P 21 21 21,19.0,H11RuC16SN4Cl2O4F3
I 2 c m,46.0,ScAgSn
I m -3,204.0,Fe4H12C15O31
I m -3,204.0,Al4H12C15O31
I m -3,204.0,Ga4H12C15O31
I m -3,204.0,In4H12C15O31
P b a m,55.0,CsVOF3
P b a m,55.0,RbVOF3
P n n m,58.0,AlH3
P 21 21 21,19.0,H21RuC13S2NCl2
P n m a,62.0,H25RuC15S2NCl2
P 21 21 21,19.0,SnH14C14SCl2
P 21 21 21,19.0,CdCoH21C10S4(N2O)4
P n c a,60.0,FeH8C16S8(Br2O)4
P n c a,60.0,FeH8C16S8Br4(ClO)4
P n c a,60.0,GaC16S8(Br2O)4
P n c a,60.0,GaH8C16S8Br4(ClO)4
P b a m,55.0,FeH6C4(NCl)2
P b a m,55.0,MnH6C4(NCl)2
P n m a,62.0,H21AuC20N3Cl5
P 21 21 2,18.0,Cu6NiH22C38(SN7)2
P 21 21 2,18.0,CoCu6H22C38(SN7)2
P 21 21 21,19.0,ReH19C10S(NO5)2
P 42/n :2,86.0,Tm3Sb
P 42 n m,102.0,Zn2H10C3S2NO8
P 21 21 21,19.0,FeH23C17(N3O2)2
P m m a,51.0,Mo3H36C25N5(Cl7O3)2
I 2 2 2,23.0,VH8C10N2F3
P n m a,62.0,VH8N2F5
P 4/n c c :2,130.0,VH10C2N2F5
P b c n,60.0,UI4O15
P c a 21,29.0,H19RuC21N6ClO3
P n n a,52.0,PH4C6NClO
P n m a,62.0,Mo3H14C6N2O11
C m c m,63.0,LaPb6BrO7
C m c a,64.0,P
P b c a,61.0,ZnH6(C2N3)2
P n m a,62.0,Zn2H6C6N9O4
P n m a,62.0,Zn2H3C2SN3O5
P n m a,62.0,Cd2H6C4N6Cl2O
P n m a,62.0,Cd2H6C6IN9
P 43,78.0,AgBH13C15(N2F3)3
P m c n,62.0,Ce2Ni7
P 21 21 21,19.0,Li2Ce5Sn7
P 21 21 21,19.0,MnSn3H23C8Se7N5
P 21 21 21,19.0,H15C17NO3
P 21 21 21,19.0,ReH18C24N6ClO7
P n a 21,33.0,K5In3(SiO3)7
C m c a,64.0,BaCaSn3
C m c a,64.0,BaYbSn3
C 2 2 21,20.0,K2GaB5(H4O7)2
P 21 21 21,19.0,FeH22C24S2N4(OF)6
P n m a,62.0,Al2B3HO8
C m c m,63.0,SmGa4Co
P 4/m m m,123.0,Sm4Ga16Co3
P n m a,62.0,Ba(AlSi)2
P n m a,62.0,Ba(AlSi)2
P n m a,62.0,Ba(AlSi)2
P b c n,60.0,Ca2UO17
P c c a,54.0,K6U2O21
P n a 21,33.0,FeH20C14N5ClO3
P n m a,62.0,CoPH4(C3O2)2
P n m a,62.0,Ba(InAu)2
P n m a,62.0,Sr(InAu)2
P 42/n :2,86.0,Np(IO3)4
P 42/n :2,86.0,Pu(IO3)4
P m -3 m,221.0,Na3N
P n m a,62.0,MgH18(C8O)2
C m m a,67.0,PH6NO2
P b c n,60.0,H16Pt(C6N)4
P 41 21 2,92.0,ZnH12C12S(NCl)2
P 21 c n,33.0,Hg2H12C12S(NCl2)2
C m c a,64.0,ZnH5C12O7F12
P 4/n c c :2,130.0,GdCuH22C12N16ClO13
P 4/n c c :2,130.0,NdCuH22C12N16ClO13
P n a 21,33.0,Zn5P4H16C4N2O17
P 41 21 2,92.0,MnH10C12(NO2)2
P 41 21 2,92.0,CoH10C12(NO2)2
P 21 21 21,19.0,ReH20C10Br2(NO2)3
C m c m,63.0,ReC10Br3N2O3
P n m a,62.0,SmSbH16C6S4N6O
C m c m,63.0,U2H21C14I8N7
P 43,78.0,NbCdH24C20N8OF5
I 41/a :2,88.0,CsB(CN)4
P -4 3 m,215.0,CuB(CN)4
P -4 3 m,215.0,LiB(CN)4
F d -3 m :2,227.0,NaB(CN)4
P n m a,62.0,NaBH8C8N4O
I 41/a :2,88.0,BH4C4N5
P n m a,62.0,BH12C8N5O
I 41/a :2,88.0,RbB(CN)4
I 41/a :2,88.0,TlB(CN)4
P -4 21 c,114.0,K(HC)5
P -4 21 c,114.0,K(HC)5
P -4 21 c,114.0,K(HC)5
P -4 21 c,114.0,K(HC)5
P -4 21 c,114.0,K(HC)5
P -4 21 c,114.0,K(HC)5
P -4 21 c,114.0,K(HC)5
P -4 21 c,114.0,K(HC)5
P -4 21 c,114.0,K(HC)5
P -4 21 c,114.0,K(HC)5
P n a 21,33.0,Pr2H16C14SN2O19
I -4,82.0,VAg3HgO4
I -4 2 d,122.0,V2Ag3Hg3O8
P c a b,61.0,CoH4C8(NO)6
P c a b,61.0,ZnH4C8(NO)6
P b c a,61.0,CuH12C10S2N4(OF)6
P b c a,61.0,CdB2F8
I 4/m,87.0,H28RuC44(N2O)2
P b c a,61.0,UH11C3S2(NO5)2
P m n 21,31.0,CuB2H18C18(NF2)4
P m n 21,31.0,CuB2H12C16N4ClF8
P b c a,61.0,Cu2H6C10BrN4O5
P a -3,205.0,CuH3C3S3N3Cl
P a -3,205.0,CuH3C3S3BrN3
P a -3,205.0,CuH3C3S3IN3
P b c a,61.0,ThV2TeO12
