sg,sgNumber,cleaned_formula
P c c n,56.0,UH4C2(NO3)2
P n m a,62.0,KCuMoO5
P 43,78.0,TbZnH16C24(NO3)3
P 43,78.0,TbZnH16C24(NO3)3
P 41,76.0,TbZnH16C24(NO3)3
P 43,78.0,TbZnH16C24(NO3)3
P 43,78.0,TbZnH16C24(NO3)3
P 41,76.0,TbZnH16C24(NO3)3
P 41,76.0,TbZnH16C24(NO3)3
P 43,78.0,TbZnH16C24(NO3)3
P 21 c n,33.0,CaTeO4
P 21 c a,29.0,CaTeO3
P c m n,62.0,K2NaAl3F12
P n m a,62.0,Ba2UTiTe7
P n m a,62.0,Ba2UCrTe7
P n m a,62.0,Ba2ThCrTe7
F d -3 m :2,227.0,LiTiMnO4
F d -3 m :2,227.0,LiTiMnO4
F m -3 m,225.0,CeO2
P 21 21 2,18.0,Zn2H42C36N8O13
I m m m,71.0,Cs2USiO6
I m m m,71.0,Rb2USiO6
I 4/m,87.0,Na4NpO5
I 41/a,88.0,Ta2Mn3O8
P 42/m b c,135.0,CdH2(C5O4)2
I b a m,72.0,Cd3H22C24N2O17
P m m m,47.0,AlCr3B4
C m c m,63.0,AlBW
C m m m,65.0,Al(FeB)2
C m c m,63.0,AlBMo
C m m m,65.0,Al(CrB)2
C m m m,65.0,Mn2AlB2
P m m n :2,59.0,H20AuC13BrN4
I -4 2 d,122.0,LiFeP2(HO3)2
P 21 21 21,19.0,Sr6Sb6S17
P n m a,62.0,CsGaCl4
P c 21 n,33.0,RbNiPO4
P 21 21 21,19.0,SbH20C12SN2Cl2(OF)3
F m -3 m,225.0,Cs2LiIr(CN)6
P m -3 n,223.0,Ba4Si23
F m -3 m,225.0,Yb2Ru
P b c a,61.0,SXeO3F2
P 21 21 21,19.0,H16RhN5(ClO4)2
P n m a,62.0,VH7N2O5
I 41 m d,109.0,LaAlGe
P m -3 m,221.0,HoSn3
F d -3 m :1,227.0,PrYNi4
F d -3 m :1,227.0,GdS2
F m -3 m,225.0,Cs2LiFe(CN)6
P 43 21 2,96.0,U(BH4)4
P n a 21,33.0,NaZnMoO5
P b c a,61.0,Al(TeCl2)2
P m -3 m,221.0,Na4Al12Co4Si12(NO17)3
P n m a,62.0,RuSN5Cl2O
P n m a,62.0,H9OsN7Cl2
C m c 21,36.0,AsS
P 21 21 21,19.0,SbTe(SeF3)2
P 21 21 21,19.0,TeAs(SeF3)2
P 21 n b,33.0,CoH15N6(ClO)2
P n n m,58.0,Bi6Cl7
P b c m,57.0,NaHNO2
P n m a,62.0,BH5CSN2
C 2 2 21,20.0,CsCuBr3
P n m a,62.0,Cs2CuBr4
P b c a,61.0,H6Pt(N2O3)2
P m -3 m,221.0,ErSn3
P m -3 m,221.0,DySn3
P m -3 m,221.0,NaAl3CoSi3CO13
P b c a,61.0,CoSbH18(NCl)6
F m -3 m,225.0,Cs2LiMn(CN)6
P 42/m n m,136.0,Cr2HN10Cl5O2
P n m a,62.0,Yb3Si2ClO8
P n m a,62.0,RuXeF11
P 21 21 21,19.0,HgOF
P n a 21,33.0,CrP2H6(CO)4
P n m a,62.0,CsSO2F
P n m a,62.0,Eu2H4Pd
P m -3 m,221.0,EuH3Pd
P c a 21,29.0,Pd(XeF8)2
P 4/m c c,124.0,Tl4PtC5N4O3
I -4,82.0,CuMoS4N
P 4/m n c,128.0,K4Mo2S4ClO20
P b c a,61.0,MoH12C4S4(N3O)2
C m c a,64.0,SbI(ClF3)2
P m -3 m,221.0,Fe7C18(N9O7)2
P n m a,62.0,S4N5Cl
C m m m,65.0,OsCl4
I m m m,71.0,NbPS
I m m m,71.0,NbPSe
I 4 m m,107.0,SnP
C m c a,64.0,CoSiC4O4F3
I m m a,74.0,Fe2O2F5
P n m a,62.0,CoHgH18N6Cl5
P n 21 a,33.0,KXeO3F
F m m m,69.0,K2CuPb(NO2)6
R 3 :R,146.0,Co2(GeS)3
R 3 :R,146.0,Co2(GeSe)3
P 21 21 21,19.0,Re2O7
P n m a,62.0,ZnCoH18N6Cl5
P m -3 m,221.0,TbSn3
P m -3 m,221.0,YSn3
I 41/a :2,88.0,Te5(O2F11)2
P n m a,62.0,KBrO4
F d d 2,43.0,PdF4
P 1 2/c 1,13.0,B5H7
P 43 21 2,96.0,CuH12C3S3BrN6
P 43 21 2,96.0,CuH12C3S3IN6
P n a 21,33.0,ZnCl2
F -4 3 m,216.0,CsFeP(H6O5)2
F -4 3 m,216.0,CsFeP(H6O5)2
P c a 21,29.0,Rb2(PSe2)3
I 4/m m m,139.0,VPNO5
P n m a,62.0,MoF6
P n m a,62.0,IrF6
P n m a,62.0,OsF6
P m -3 n,223.0,Li8Nd18Co4O39
P 1 21/n 1,14.0,C3S2(OF2)2
C m c m,63.0,LaNi3B
P 42/m n m,136.0,LiCa10MgSb9
P 42/m n m,136.0,Ca10Mg2Sb9
C m c m,63.0,Sm3OsO7
C m c m,63.0,Eu3OsO7
C m c m,63.0,Gd3OsO7
P 21 n b,33.0,Sm3OsO7
P 21 n b,33.0,Eu3OsO7
P 21 n b,33.0,Gd3OsO7
C m c m,63.0,CaPtO3
P n m a,62.0,Sr2SnS3F2
F m -3 m,225.0,GaH12(NF2)3
P 1,1.0,Sn14Sb11Pt8
P 4/m c c,124.0,KY(CO)8
I 4/m,87.0,RbLa9(IrO6)4
P n m a,62.0,HgH12N4(ClO4)2
P n m a,62.0,PS2N(Cl3O2)2
I -4 3 m,217.0,Na10EuSn12
I -4 3 m,217.0,Na10YbSn12
P n m a,62.0,LiBeH3
P m -3 m,221.0,NaBeH3
P b c m,57.0,CsHCO2
P b c m,57.0,RbHCO2
P b c a,61.0,FeH6(C6N5)2
P b c a,61.0,FeH6(C6N5)2
I 4/m m m,139.0,SrGe3
A m a 2,40.0,Cs2Li5(BO2)7
I m -3 m,229.0,Ca5(GePd)6
C m m m,65.0,U3Fe2Ge7
C m c 21,36.0,PNF2
F m -3 m,225.0,K2MnCl6
I -4 3 d,220.0,Ba4Bi3
I -4 3 d,220.0,Sr4Bi3
F d -3 m :1,227.0,FeO2
P -4 3 n,218.0,Li7VN4
P b c a,61.0,BH3NF3
P 42/n m c :2,137.0,Li7VN4
B m m b,63.0,TePb3(ClO2)2
P 4/m m m,123.0,KY2Ti2S2O5
P a -3,205.0,CsMnH24(SO10)2
P a -3,205.0,CsTiH24(SO10)2
P a -3,205.0,CsGaH24(SO10)2
P a -3,205.0,CsVH24(SO10)2
P n a 21,33.0,BaAl
C m c m,63.0,Y5(FeTe)2
P n m a,62.0,Y5(NiTe)2
P n m a,62.0,CoH17S2N5ClO4
P b c n,60.0,Ce(NF3)2
I m m 2,44.0,Lu7(NiTe)2
I m m 2,44.0,Lu7(TePd)2
P 4/m m m,123.0,Sr2La2Ti3CuO12
P 4/m m m,123.0,Ca2La2Ti3CuO12
I 41/a :2,88.0,LiYbF4
P b c m,57.0,Ca2AsClO4
P b c m,57.0,Ca2VClO4
F m -3 m,225.0,Ba2NdMoO6
P b a m,55.0,K2MoCl4O
C m c 21,36.0,Mo2H22N5Cl9O
P n m a,62.0,K2OsNCl5
P n m a,62.0,Yb5Sb3
I 41/a :1,88.0,CaEu2(MoO4)4
P n m a,62.0,Nb14S5
P c a m,57.0,As2S2F3
P c a m,57.0,SbAs3(S2F3)2
I 4/m m m,139.0,Yb11Sb10
P m n 21,31.0,ZrI2
P b c a,61.0,CsReBr4
F m -3,202.0,K2CuPb(NO2)6
P n a 21,33.0,Cs5W4C12S12N13O10
P n c 2,30.0,K2VCSe5O2
P 21 21 21,19.0,C2O3F2
C m c a,64.0,Cs3CuTeS9
P b c a,61.0,Sb2IBr2F11
P n n a,52.0,K3Ga3As4
P b c n,60.0,Ni2P4C11S2(OF8)3
P b c a,61.0,TcCl4
I m m m,71.0,SbS2NCl6
I -4 2 m,121.0,Pd3(NO)16
P b c n,60.0,Fe2MoP12
P n m a,62.0,P4Se3
P n m a,62.0,Ba2MnSe3
P n m a,62.0,Ba2MnS3
"C m c m (c,b,-a)",63.0,Cs2RuCl5O
P 21 21 21,19.0,B7H10
P n m a,62.0,P4S3I2
C 2 2 2,21.0,HoSb2
I 4/m,87.0,XeIF7
P 21 21 21,19.0,CoH9(NO)6
I 41/a m d :1,141.0,SbH8(Br3N)2
C m c m,63.0,Li4H5Rh
I 4/m,87.0,Li4H4Rh
P b c m,57.0,KTeF5
I m m m,71.0,Cs3V(Cl3O2)2
P c a 21,29.0,Al(SeCl)4
P 21 21 21,19.0,SbS7IF6
I -4 c 2,120.0,K2CuF4
P n m a,62.0,V3P4O15
A b m 2,39.0,Ta3S2
F m -3 m,225.0,LaTe
P 4/n :2,85.0,SrBr2
F m -3 m,225.0,H18Ru(IN3)2
F m -3 m,225.0,B3H18Ru(NF2)6
P 21 21 21,19.0,H8RuN3Cl5O
P n a m,62.0,H12RuSN4(ClO)2
P 21 21 21,19.0,K2RuO5
F m -3 m,225.0,Na2S
F m -3 m,225.0,Na2Te
P b c a,61.0,Na4XeO12
P 21 c a,29.0,U2H14S2O19
P 21 21 21,19.0,LaH21C14I3N7
P 21 21 21,19.0,CeH21C14I3N7
I b a 2,45.0,MnH8C2N4(ClO)2
F m -3 m,225.0,Ce6Mg23Sn
F m -3 m,225.0,Gd6Mg23C
F m -3 m,225.0,Ce6Mg23Si
F m -3 m,225.0,Nd6Mg23C
F m -3 m,225.0,Pr6Mg23C
F m -3 m,225.0,Sm6Mg23C
F m -3 m,225.0,La6Mg23C
F m -3 m,225.0,Ce6Mg23Sb
F m -3 m,225.0,Ce6Mg23Ge
F m -3 m,225.0,Ce6Mg23P
F m -3 m,225.0,La6Mg23Sb
F m -3 m,225.0,Ce6Mg23As
F m -3 m,225.0,Ce6Mg23C
F m -3 m,225.0,La6Mg23P
F m -3 m,225.0,K2NaScF6
F m -3 m,225.0,Cs2LiYCl6
F m -3 m,225.0,Cs2NaYCl6
F m -3 m,225.0,Cs2NaYBr6
P n m a,62.0,Na2Zn3(PO3)4
F m -3 m,225.0,Mg2FeH6
F d -3 m :2,227.0,Cd2Re2O7
P 21 21 21,19.0,Co6C16SO14
P n n m,58.0,Co2H34N12Cl3O10
P b c n,60.0,K2H6PtC4N4O3
P 4/n c c :2,130.0,VSiP2O9
P m -3 m,221.0,KVF3
P m -3 m,221.0,RbVF3
P n m a,62.0,Sr2PNO3
P n m a,62.0,Ca2PNO3
P n m a,62.0,Sr2PNO3
P n m a,62.0,Sr2PNO3
P n m a,62.0,Sr2PNO3
P n m a,62.0,Sr2PNO3
P b a m,55.0,Li12AgGe4
P n m a,62.0,H16WC18NCl6
I 4 m m,107.0,LaGa3Cu
I 4 m m,107.0,CeGa3Cu
I 4 m m,107.0,PrGa3Cu
I 4 m m,107.0,NdGa3Cu
I 4 m m,107.0,SmGa3Cu
I 4 m m,107.0,EuGa3Cu
I 4 m m,107.0,GdGa3Cu
I 4 m m,107.0,NdGa3Cu
I 4 m m,107.0,NdGa3Cu
C m c e,64.0,Ga2B3O8
P 21 21 21,19.0,H11C13SN3
P b c a,61.0,FeH10C11INO5
P 21 21 21,19.0,FeH14C16SN2O5
I 41 2 2,98.0,GaH4C8O5
P m n 21,31.0,FeH5(C4O3)2
P 4 21 2,90.0,SrTiCu4P4O17
P 4 21 2,90.0,BaTiCu4P4O17
C m c m,63.0,KB3(H6N)2
P n c n,52.0,CsB3(H6N)2
I 4/m m m,139.0,Cu4H24C36N15ClO21
I 4/m m m,139.0,CuH6C9N3ClO6
I 4/m m m,139.0,Cu4B3H24C36N12Cl(OF)12
I 4/m m m,139.0,Cu4B3H24C36N12Cl(OF)12
P 42/m n m,136.0,H36RuC20I4(N2Cl)2
P n m a,62.0,CuH20C14SN10O7
P n a 21,33.0,UH17PbC22N3O11
P 21 21 21,19.0,KVSO7
P 4/n m m :2,129.0,Cu2H3C7INO5
I 4/m,87.0,Ni2H16WC8(NO)8
I 4/m c m,140.0,Ni2W(CN)8
P 42 c m,101.0,Sn2H20C9I7N3
A e 2 a,41.0,Sn2H20C9I7N3
I 4 m m,107.0,Sn2C12I7N3
P m n a,53.0,SnH12C2(I2N3)2
P n a 21,33.0,Sr2UO17
I 4/m c m,140.0,VAs2H8O9
P 21 21 21,19.0,ReH20C20N2ClO5
P m n 21,31.0,TiBH42(C13N5)2
F -4 3 c,219.0,Cu8(SnS4)3
C m c m,63.0,Bi2(Pb2Se3)3
P c a 21,29.0,Na3La(PO4)2
I -4,82.0,UPH20(C4F)6
P m c 21,26.0,AgH10C9SI2N
P 42/n :2,86.0,AgH12C10SI2N
P 21 21 21,19.0,Ag2H7C7SI3N2
P n a 21,33.0,H25C23N4O4F3
P n m a,62.0,K2Th(TeO4)3
I 4/m,87.0,Zr4H24C16O27
P -4 21 m,113.0,Sr2MnGe2S6O
P -4 21 m,113.0,Sr2ZnGe2S6O
I -4 m 2,119.0,Co8H32C48N8O25
P n m a,62.0,H15RuN5Cl3
I 4/m m m,139.0,K4Ru2Cl10O
P 42/n :2,86.0,Ge2H24C10S5N2
P 42/n :2,86.0,Ge2H22C24S5N2
P 21 3,198.0,K2Fe2(SO4)3
P 21 21 21,19.0,K2Cu2(SO4)3
P n m a,62.0,MoO2
P n m a,62.0,Ba(NiGe)2
I 4/m m m,139.0,Ba(NiGe)2
P 21 21 21,19.0,VH10C9NO7
P c a 21,29.0,NaB5(H2O5)2
P b c a,61.0,CdH6C5NCl3
A m m a,63.0,CdH6C5NCl3
P n m m,59.0,Cd2H6C5NCl5
P n m a,62.0,Cd2H6C5NCl5
P 21 21 21,19.0,NiH24C18N3ClO2
P 21 21 21,19.0,H23C10NO3
P 21 21 21,19.0,GeH20C10BrNO3
P 4/n m m,129.0,GaReSi
P b c a,61.0,CuH6C6BrNCl2
P b c a,61.0,CuH6C6NCl3
F d d 2,43.0,CuH8C8I5N4
P m m n,59.0,DyMn3O6
P a -3,205.0,Na(BCl)6
P a -3,205.0,Na(BCl)6
P 21 21 21,19.0,ReH23C25N4O3
P 42 b c,106.0,Ba12LiB7O21F4
P 42 b c,106.0,Ba12NaB7O21F4
I 41/a m d,141.0,Ba(AuS)2
P m m n :2,59.0,V2P2H4O11
I 41 2 2,98.0,InH11C11NO6
P 42/n n m,134.0,Fe6H40C33(NO8)2
C c c m,66.0,AgB6H6C4(NF3)2
P b c m,57.0,TbH14C23(NO2)3
P 21 21 21,19.0,CuH15C24(NF5)2
P n m a,62.0,KNO3
P 21 21 21,19.0,PH15(C9I)2
P 21 21 21,19.0,PH19C20I3N
P 21 21 21,19.0,UH24C24S4N4O
P 4 n c,104.0,H12Pb(C3O)4
P 21 21 21,19.0,CsVH7C4O9
P 21 21 21,19.0,RbVH7C4O9
P 21 21 21,19.0,Na2V2H24C8O23
P n m a,62.0,H17PtC14N3Cl2
A e a 2,41.0,FeH22C18(SeN3)2
P b c a,61.0,MoH4C2N4O3
P b c a,61.0,Mo2H8C10N6O7
P b c a,61.0,CuH6(C5N6)2
P 21 21 21,19.0,Cu3H12C12I4N
P 21 21 21,19.0,Cu3H12C12I4N
P n a 21,33.0,H12PtC17(NO)2
P b c a,61.0,CoH20C24(N5O)2
C m m m,65.0,ZnH17C22N5O4
P 21 21 21,19.0,Mn2H21C24S3N3O7
I b a 2,45.0,BH8CN
P b c a,61.0,BH10C2N
P n a b,60.0,CuH10C12N2Cl4O7
P n a 21,33.0,TaH16C6(NCl2)2
P b c a,61.0,H9C5I7N2
C m c 21,36.0,RePH23C25N3Cl4(OF2)3
I -4,82.0,CoPH38C38N6(OF3)2
P 21 21 2,18.0,FeH48PdC32(N3Cl)2
I -4 2 m,121.0,Dy5H4(C4O11)2
I -4 2 m,121.0,Gd5H6(C4O11)2
P n m a,62.0,CuH12C4S2(ClO)2
P 42,77.0,Cu14H32C16(I4N7)3
P m n 21,31.0,Fe2H36C27(SN3)2
P b c a,61.0,CoH12C4SNCl3
P b c n,60.0,CuH7C11N3O4
P b c n,60.0,CuH9C12N3O4
P b c n,60.0,CuH9C12N3O4
P b c n,60.0,ZnH9C12N3O4
P 21 21 2,18.0,H14PtC8N4Cl
P 21 21 21,19.0,H14PtC8(N2O)2
P 21 21 2,18.0,H14PtC8IN4
P 21 21 2,18.0,H14PtC8BrN4
P n m a,62.0,H14PtC17(N4F3)2
P b c n,60.0,FeH16C16(SN)4
P b c n,60.0,FeH16C16(SN)4
P n a 21,33.0,SnH20C24S2(I2O)2
P 21 21 2,18.0,CoH22C34Br2(NO)2
P 21 21 2,18.0,DyCo2P7H46C22(O10F3)2
P 21 21 2,18.0,YCo2P7H46C22(O10F3)2
P n m a,62.0,FeNiH5C8IN6O
P n m a,62.0,FeH5PdC8IN6O
P n m a,62.0,FeH5PtC8IN6O
P 21 21 21,19.0,Si2H25C22N
P 42/m n m,136.0,ZnH11C17N3O4
P 42/m n m,136.0,CoH11C17N3O4
P 42/m n m,136.0,CuH11C17N3O4
P 42/m b c,135.0,GeH10(C4N)2
P 21 21 21,19.0,SiH14C6(NO2)2
P b c a,61.0,SiH12C5(NO2)2
P -4 21 c,114.0,SiH12C8(NO2)8
P n a 21,33.0,TaH22C11N3Cl4
P n -3 :2,201.0,YbH12(CN3)3
I 41/a m d :1,141.0,Yb(H2N)2
P n -3 :2,201.0,YbH12(CN3)3
P m m n :2,59.0,P2Ru2Pt2C18N7(O7F6)2
P m m a,51.0,P2H24Ru2Pt2C22N6Cl(O7F6)2
P n n a,52.0,CdH12C21(N2O3)2
C m c m,63.0,UH20C20N6(ClO)2
P b c n,60.0,UH20C16N4(ClO)2
P n a 21,33.0,UH16C16S2N4(O4F3)2
P n a 21,33.0,CuH16C12(N5O3)2
P -4 21 c,114.0,ZnCu2H12(C3N2)4
P n n a,52.0,K2MnH13C13NO10
P n n a,52.0,K2CoH13C13NO10
P b c a,61.0,H9C9N5
P c a 21,29.0,TbH9C4(NO4)2
P c a 21,29.0,TbH9C4(NO4)2
P c a 21,29.0,DyH9C4(NO4)2
P c a 21,29.0,DyH9C4(NO4)2
P c a 21,29.0,HoH9C4(NO4)2
P c a 21,29.0,HoH9C4(NO4)2
P c a 21,29.0,ErH9C4(NO4)2
P c a 21,29.0,ErH9C4(NO4)2
P c a 21,29.0,TmH9C4(NO4)2
P c a 21,29.0,TmH9C4(NO4)2
P c a 21,29.0,TmH9C4(NO4)2
P c a 21,29.0,TmH9C4(NO4)2
P c a 21,29.0,YbH9C4(NO4)2
P c a 21,29.0,YbH9C4(NO4)2
P c a 21,29.0,LuH9C4(NO4)2
P c a 21,29.0,LuH9C4(NO4)2
P c a 21,29.0,YH9C4(NO4)2
P c a 21,29.0,YH9C4(NO4)2
F m -3 m,225.0,Ag2H6C3(IN)2
F m -3 m,225.0,Ag4H12C6I3N4
F -4 3 m,216.0,AgH6C3IN2
F -4 3 m,216.0,AgH6C3IN2
F -4 3 m,216.0,AgH6C3IN2
P 41 21 2,92.0,NiH24C24(N2O)2
I b a 2,45.0,ZnH22C8S4(N2O)6
P n m a,62.0,SbH16C5Br5N2
P b c a,61.0,H6C5SNF5
P n m a,62.0,H9C6NF2
P 21 21 21,19.0,H9C10S2N2F9
P -4 21 c,114.0,H5C5S2NF9
P n a 21,33.0,H14Pb2C8O9
P b a n :2,50.0,H18Pb4C12O13
P b c m,57.0,PH24C20S2IN5
P 43 21 2,96.0,Cu3H13C11N9O7
P n n m,58.0,U2H16C16N4O19
C m c 21,36.0,K3B3(H4O5)2
C m c 21,36.0,BPH8C5Cl3
P n m a,62.0,BPH8C5Br3
P 21 21 21,19.0,BAsH8C5Cl3
P m c 21,26.0,AgH12C15N8
P 21 21 21,19.0,HC5S3BrO
P b c n,60.0,HgH11C9S(NO2)2
P 4/n :2,85.0,CuH20C32S8N4ClO5
C 2 2 21,20.0,U2CoH12C24O25
F d d 2,43.0,Fe2C5N(ClO6)2
P c a 21,29.0,C7Se2N2ClF4
P n a 21,33.0,CdH10C12N2O5
P 21 21 21,19.0,Co2PH11C11O8
P 21 21 21,19.0,CuH17C19N6ClO3
P 21 21 21,19.0,NaCu4H68C76N20(ClO5)4
P m n a,53.0,FeNiH6C12(N4F)2
P m n a,53.0,FeH6PtC12(N4F)2
C m c e,64.0,FeAu2C8N6F
P m n a,53.0,FeH6PtC12(N4F)2
P m n a,53.0,FeH6PdC12(N4F)2
C m c e,64.0,FeAu2C8N6F
P m n a,53.0,FeH6PdC12(N4F)2
P n a 21,33.0,KPH20C17SO
P b c n,60.0,Cu3H16C22N6(ClO)2
P 21 21 21,19.0,H25PtC20N4Cl
P m -3,200.0,Ni3Bi6H66C42N6(O16F9)4
P m -3,200.0,Co3Bi6H66C42N6(O16F9)4
P 21 21 21,19.0,H15RuC23(N2Cl3)3
P n m a,62.0,Ag4Sn3H12C2(S4N)2
P 21 21 21,19.0,H24RuC16(N2Cl)2
P b c m,57.0,H10C4S(OF2)2
P 21 21 21,19.0,Cu3H12C10N13O5
F m -3,202.0,KNa(BH)12
F m -3,202.0,Na(BH)6
P n 21 a,33.0,CsNa(BH)12
P n 21 a,33.0,CsLi(BH)12
P 21 21 21,19.0,P2H13C13NCl2
P 21 21 21,19.0,P2H13C13S3N
P 21 21 21,19.0,SiBH20C8I6N
P 21 1 1,4.0,CoP2H22C30(NF2)6
C m c m,63.0,Co4P4H23C4N4O17F
P c c n,56.0,Be4P4H22C6N2O19
P c c n,56.0,CuH12C16IN2
P b c n,60.0,CuH11C15IN3
P n a 21,33.0,GdH16RuC12N9O8
P n a 21,33.0,NdH16RuC12N9O8
P n a 21,33.0,SmH16RuC12N9O8
P n c 2,30.0,CuH14C17S2N5
P c a 21,29.0,CuH14C17S2N5
C c c a :2,68.0,ZnH8C8(N2Cl)2
I 4/m m m,139.0,ZnH8C8(BrN2)2
P -4 3 m,215.0,Ge7(H2O11)2
P b c a,61.0,MnBH6C9Br2O3
P n n a,52.0,V2P2H25C10N2O15
P n n a,52.0,V2P2H16C8N2O15
P b c n,60.0,BH5C11N2(OF3)2
P 21 21 21,19.0,TcH16C8(Cl2O)2
F d d 2,43.0,ZnH10C11N4Cl2O
P m n 21,31.0,Cu3H8C8N12O3F2
I 41/a c d :2,142.0,Cu6H8C8BrN12
P n n a,52.0,Cu2H2C2N3Cl2
P 21 21 21,19.0,Mo2H19Ir3C25O11
P n m a,62.0,CuH9C25N4OF22
P n m a,62.0,P2H17C17N5(OF6)2
P 43,78.0,FeH18C19SN3(ClO)2
C m m a,67.0,Zn7(SbO6)2
I 4/m,87.0,Nb5(PPd)4
P b c a,61.0,CuMoH8C10(NO2)2
F d d 2,43.0,Na2CaH4(CO4)2
P 21 21 21,19.0,Mn5P2(HO3)4
P 21 21 21,19.0,Co5P2(HO3)4
P m n 21,31.0,Li3PO4
P a -3,205.0,NiAs2
P a -3,205.0,NiP2
P c c n,56.0,La2H16C3O17
P n a m,62.0,NaZnMoHO5
P n a 21,33.0,SbO2
I 4/m m m,139.0,V2Co(PO7)2
P m n 21,31.0,MnPH6NO5
P m n 21,31.0,MnPH6NO5
P m n 21,31.0,MnPH6NO5
P b n a,60.0,Fe3P2H6O11
P b n a,60.0,Fe3P2H3O11
P a -3,205.0,FeCoH18(NCl)6
B b m m,63.0,Bi2(PbS2)3
P b n m,62.0,Bi2(PbS2)3
B b m m,63.0,Bi2(PbS2)3
P b n m,62.0,Bi2(PbS2)3
B b m m,63.0,Bi2(PbS2)3
B b m m,63.0,Bi2(PbS2)3
P n m a,62.0,Cu4As2O9
